,C_norm,I_norm,Q_norm,index
2011-03-01,,,,
2011-04-01,,,,
2011-05-01,,,,
2011-06-01,,,,
2011-07-01,,,,
2011-08-01,,,,
2011-09-01,,,,
2011-10-01,,,,
2011-11-01,,,,
2011-12-01,,,,
2012-01-01,,,,
2012-02-01,,,,
2012-03-01,,,,
2012-04-01,,,,
2012-05-01,,,,
2012-06-01,,,,
2012-07-01,,,,
2012-08-01,,,,
2012-09-01,,,,
2012-10-01,,,,
2012-11-01,,,,
2012-12-01,,,,
2013-01-01,,,,
2013-02-01,,,,
2013-03-01,,,,
2013-04-01,,,,
2013-05-01,,,,
2013-06-01,,,,
2013-07-01,,,,
2013-08-01,,,,
2013-09-01,,,,
2013-10-01,,,,
2013-11-01,,,,
2013-12-01,,,,
2014-01-01,0.22727272727272735,0.11764705882352951,0.4015966935060069,0.24883882653408793
2014-02-01,0.22727272727272735,0.05882352941176449,0.8309695443551434,0.37235526701321175
2014-03-01,0.18181818181818124,0.05882352941176449,1.0,0.4135472370766486
2014-04-01,0.18181818181818124,0.05882352941176449,1.0,0.4135472370766486
2014-05-01,0.22727272727272735,0.11764705882352951,0.9636404733077018,0.4361867531346529
2014-06-01,0.2727272727272735,0.05882352941176449,1.0,0.4438502673796793
2014-07-01,0.31818181818181795,0.11764705882352951,0.8324983307105308,0.42277573590529277
2014-08-01,0.22727272727272735,0.11764705882352951,0.8381066921276011,0.39434215940795264
2014-09-01,0.22727272727272735,0.11764705882352951,0.8780267230919101,0.4076488363960557
2014-10-01,0.2727272727272735,0.05882352941176449,0.7830522467498834,0.37153434962964044
2014-11-01,0.40909090909090856,0.0,0.6813976143813343,0.3634961744907476
2014-12-01,0.5909090909090914,0.0,0.20393154658274643,0.26494687916394594
2015-01-01,0.8181818181818188,0.0,0.45465406577801376,0.42427862798661087
2015-02-01,0.9090909090909094,0.0,0.7578228665631759,0.5556379252180285
2015-03-01,0.8636363636363633,0.0,0.7267048821889011,0.5301137486084214
2015-04-01,0.9545454545454555,0.04999999999999982,0.9191340608899673,0.6412265051451409
2015-05-01,0.9545454545454555,0.10000000000000009,0.9354739862101402,0.6633398135851986
2015-06-01,0.9545454545454555,0.04999999999999982,0.9759592328097707,0.6601682291184087
2015-07-01,1.0,0.10000000000000009,0.8883007681125101,0.66276692270417
2015-08-01,1.0,0.19999999999999973,0.9681645999882894,0.7227215333294298
2015-09-01,1.0,0.25,1.0,0.75
2015-10-01,0.8400000000000005,0.2999999999999998,1.0,0.7133333333333335
2015-11-01,0.6400000000000006,0.3999999999999999,0.9939424386638944,0.6779808128879651
2015-12-01,0.3200000000000003,0.5,0.5793073109953386,0.46643577033177963
2016-01-01,0.44000000000000056,0.5,0.7948635305467961,0.5782878435155989
2016-02-01,0.4799999999999997,0.5,1.0,0.6599999999999999
2016-03-01,0.6,0.5,0.9725506805246665,0.6908502268415555
2016-04-01,0.6,0.5,1.0,0.7000000000000001
2016-05-01,0.6799999999999997,0.5499999999999998,0.9749943209794701,0.7349981069931566
2016-06-01,0.7200000000000003,0.5,0.9310890047696613,0.7170296682565538
2016-07-01,0.6400000000000006,0.5,0.8532586043753161,0.6644195347917722
2016-08-01,0.6400000000000006,0.5,0.8022453519074121,0.6474151173024709
2016-09-01,0.6400000000000006,0.5,0.8474426356083036,0.6624808785361014
2016-10-01,0.6,0.5,0.8158990546782403,0.6386330182260801
2016-11-01,0.5200000000000002,0.44999999999999973,0.656285574365805,0.5420951914552683
2016-12-01,0.4,0.3999999999999999,0.19787987458815184,0.33262662486271727
2017-01-01,0.35999999999999943,0.3999999999999999,0.3383638932231869,0.3661212977410621
2017-02-01,0.3200000000000003,0.3500000000000001,0.4568692169531141,0.3756230723177048
2017-03-01,0.2799999999999997,0.3500000000000001,0.36282314836437013,0.33094104945478997
2017-04-01,0.12000000000000029,0.2999999999999998,0.43564217674546457,0.2852140589151549
2017-05-01,0.0,0.3500000000000001,0.39000943102683905,0.24666981034227972
2017-06-01,0.0,0.25,0.31122726151184044,0.18707575383728015
