,comprometimento_renda,inadimplencia,total_credito_pf,cheque_especial,credito_pessoal_nc,cartao_rotativo,cartao_parcelado
2011-03-01,23.9,5.5,563875.0,21204.0,67845.0,24356.0,7537.0
2011-04-01,23.8,5.7,570454.0,21579.0,69215.0,25202.0,7404.0
2011-05-01,23.8,5.9,578386.0,22187.0,70433.0,24286.0,7775.0
2011-06-01,23.6,5.9,585267.0,22484.0,72007.0,23960.0,7898.0
2011-07-01,23.5,6.1,591030.0,21550.0,72312.0,24035.0,8217.0
2011-08-01,23.7,6.3,599924.0,22468.0,73732.0,23842.0,8465.0
2011-09-01,24.2,6.4,606977.0,22628.0,75579.0,24648.0,8440.0
2011-10-01,24.7,6.5,612484.0,23487.0,76862.0,24936.0,8231.0
2011-11-01,24.6,6.6,620089.0,22977.0,78388.0,25474.0,8503.0
2011-12-01,24.6,6.7,626283.0,20864.0,79699.0,24115.0,8917.0
2012-01-01,24.5,6.9,632440.0,23321.0,80563.0,24848.0,9182.0
2012-02-01,24.5,7.0,634382.0,24219.0,81719.0,25622.0,9243.0
2012-03-01,24.5,7.0,638999.0,24125.0,82674.0,25384.0,9359.0
2012-04-01,24.5,7.1,644939.0,24967.0,83607.0,25859.0,8823.0
2012-05-01,24.5,7.2,654365.0,24438.0,85042.0,25837.0,9147.0
2012-06-01,24.4,7.1,660049.0,23766.0,85986.0,25911.0,9363.0
2012-07-01,24.1,7.2,665907.0,24044.0,86035.0,25295.0,9607.0
2012-08-01,23.8,7.2,672877.0,23861.0,86896.0,25283.0,9514.0
2012-09-01,23.6,7.2,670249.0,23462.0,88538.0,26162.0,9567.0
2012-10-01,23.4,7.1,676692.0,24103.0,89577.0,25027.0,9709.0
2012-11-01,23.5,7.0,681661.0,23522.0,90505.0,25090.0,9793.0
2012-12-01,23.5,6.9,689557.0,21791.0,89678.0,24412.0,9845.0
2013-01-01,23.6,6.8,694578.0,23546.0,90570.0,24595.0,9881.0
2013-02-01,23.5,6.7,694658.0,24292.0,91467.0,25967.0,9882.0
2013-03-01,23.2,6.6,697249.0,23687.0,92433.0,26060.0,9892.0
2013-04-01,23.0,6.5,703879.0,24617.0,93514.0,25729.0,10005.0
2013-05-01,22.7,6.6,711603.0,24468.0,94453.0,25745.0,9910.0
2013-06-01,22.6,6.3,713757.0,23725.0,95483.0,26404.0,9845.0
2013-07-01,22.5,6.2,720522.0,24197.0,95577.0,25976.0,9910.0
2013-08-01,22.6,6.1,724388.0,24314.0,96334.0,25875.0,10464.0
2013-09-01,22.7,6.1,727146.0,25250.0,97470.0,26474.0,10663.0
2013-10-01,22.7,5.9,731380.0,25252.0,98469.0,25880.0,10673.0
2013-11-01,22.8,5.7,735106.0,24453.0,99256.0,26542.0,10561.0
2013-12-01,23.0,5.7,742183.0,23470.0,97628.0,25566.0,10647.0
2014-01-01,23.0,5.7,746459.0,25049.0,98842.0,26223.0,10872.0
2014-02-01,23.0,5.6,744219.0,25320.0,99467.0,28059.0,11105.0
2014-03-01,22.9,5.6,746882.0,26672.0,100293.0,27926.0,11274.0
2014-04-01,22.9,5.6,748776.0,27260.0,101343.0,28543.0,11653.0
2014-05-01,23.0,5.7,753346.0,27009.0,102305.0,28261.0,11868.0
2014-06-01,23.1,5.6,755254.0,27750.0,102607.0,29478.0,11944.0
2014-07-01,23.2,5.7,756577.0,26868.0,102505.0,28578.0,12087.0
2014-08-01,23.0,5.7,758986.0,26616.0,103137.0,28664.0,12231.0
2014-09-01,23.0,5.7,763225.0,27113.0,103607.0,29247.0,12125.0
2014-10-01,23.1,5.6,769177.0,26946.0,103980.0,29462.0,11869.0
2014-11-01,23.4,5.5,769950.0,25951.0,103765.0,29666.0,11787.0
2014-12-01,23.8,5.3,781167.0,24651.0,102718.0,28513.0,11771.0
2015-01-01,24.3,5.3,785865.0,26612.0,103670.0,29640.0,11914.0
2015-02-01,24.5,5.3,783316.0,26927.0,104370.0,31721.0,12087.0
2015-03-01,24.4,5.2,786803.0,27359.0,105176.0,30650.0,12305.0
2015-04-01,24.6,5.3,786363.0,27601.0,106223.0,31597.0,12409.0
2015-05-01,24.6,5.4,789755.0,27157.0,106930.0,32349.0,12369.0
2015-06-01,24.6,5.3,791833.0,27758.0,107369.0,31953.0,12712.0
2015-07-01,24.7,5.4,794445.0,27114.0,107433.0,31963.0,12753.0
2015-08-01,24.7,5.6,796929.0,27801.0,108002.0,32385.0,12661.0
2015-09-01,25.0,5.7,797471.0,27608.0,108452.0,33157.0,12522.0
2015-10-01,24.6,5.8,797058.0,27644.0,108324.0,34060.0,12261.0
2015-11-01,24.1,6.0,802893.0,27329.0,108410.0,35842.0,11958.0
2015-12-01,23.3,6.2,805578.0,24714.0,107530.0,34511.0,11596.0
2016-01-01,23.6,6.2,804529.0,26093.0,107817.0,35837.0,11384.0
2016-02-01,23.7,6.2,802295.0,27687.0,107792.0,37055.0,11346.0
2016-03-01,24.0,6.2,800989.0,27284.0,108099.0,36393.0,11412.0
2016-04-01,24.0,6.2,797312.0,26410.0,109522.0,37180.0,11419.0
